elo,elo_diff,move_count,acpl,cpl_std,opening_acpl,middlegame_acpl,endgame_acpl,best_move_rate,top3_rate,blunder_rate,mistake_rate,avg_entropy,avg_complexity,label
1820.0,-11.0,38,42.4,60.36,29.7,46.9,0.0,0.45,0.63,0.03,0.21,0.9643,14.6221,1
1831.0,11.0,37,107.7,249.4334,11.4,138.7,0.0,0.54,0.76,0.14,0.11,0.966,14.7367,0
1739.0,-19.0,30,30.0,60.2274,13.7,38.1,0.0,0.47,0.63,0.03,0.17,0.9687,15.8266,1
1758.0,19.0,29,91.4,204.8715,22.1,122.5,0.0,0.31,0.66,0.14,0.14,0.9548,12.5967,0
1811.0,-20.0,52,76.8,201.0761,80.3,72.1,85.4,0.42,0.75,0.08,0.13,0.9054,10.4954,1
1831.0,20.0,52,56.8,192.5683,35.4,21.1,154.0,0.4,0.73,0.04,0.15,0.9688,14.7215,0
1880.0,7.0,49,37.8,73.4231,54.0,40.5,10.8,0.47,0.76,0.04,0.14,0.9204,11.7364,1
1873.0,-7.0,49,15.1,30.9035,57.8,5.5,5.6,0.47,0.88,0.0,0.12,0.9459,14.1474,1
1883.0,-6.0,28,8.5,12.6623,8.4,8.6,0.0,0.57,0.96,0.0,0.0,0.964,16.073,1
1889.0,6.0,27,62.7,191.09,12.7,87.7,0.0,0.33,0.63,0.04,0.22,0.9617,15.0354,0
1669.0,0.0,35,69.8,173.1788,27.6,86.7,0.0,0.46,0.66,0.06,0.29,0.8009,12.3912,0
1669.0,0.0,35,13.7,29.89,22.3,10.7,0.0,0.8,0.86,0.0,0.06,0.9668,15.7181,1
1457.0,23.0,30,62.0,185.0712,44.5,70.8,0.0,0.33,0.8,0.07,0.1,0.9688,15.687,0
1434.0,-23.0,29,79.4,191.1999,62.7,87.0,0.0,0.31,0.62,0.07,0.21,0.8349,13.2842,0
1564.0,-17.0,33,28.0,37.7372,26.2,28.8,0.0,0.45,0.64,0.0,0.24,0.9678,15.8412,0
1581.0,17.0,32,95.9,241.4653,27.1,122.8,0.0,0.34,0.56,0.06,0.28,0.9345,13.0705,0
1593.0,-22.0,36,50.3,93.3794,29.4,58.4,0.0,0.47,0.78,0.06,0.22,0.927,12.0586,0
1615.0,22.0,36,52.1,168.5169,21.8,62.2,0.0,0.58,0.81,0.06,0.17,0.9651,15.4032,1
1819.0,-63.0,35,42.4,58.4774,42.6,42.4,0.0,0.37,0.66,0.06,0.23,0.9611,15.8018,0
1882.0,63.0,34,87.2,177.8824,74.7,91.7,0.0,0.35,0.62,0.06,0.32,0.9343,14.2006,0
2079.0,87.0,45,45.6,149.1542,20.1,28.4,200.0,0.38,0.71,0.02,0.13,0.9046,13.6642,0
1992.0,-87.0,45,10.6,18.9816,15.0,9.7,8.0,0.67,0.89,0.0,0.04,0.9703,15.1767,1
1919.0,128.0,59,62.2,165.1227,17.6,60.1,88.9,0.37,0.73,0.07,0.12,0.9208,11.8282,1
1791.0,-128.0,59,27.7,72.1896,20.0,37.8,16.1,0.58,0.76,0.05,0.07,0.9675,13.2279,0
1812.0,-55.0,22,21.0,30.8058,30.7,12.8,0.0,0.41,0.59,0.0,0.14,0.9625,15.8135,1
1867.0,55.0,21,65.0,118.3522,36.6,86.4,0.0,0.29,0.48,0.1,0.14,0.8696,13.1058,0
1602.0,33.0,32,96.4,241.1276,48.3,118.3,0.0,0.38,0.69,0.06,0.25,0.9642,15.6599,1
1569.0,-33.0,31,144.4,293.2641,84.1,169.0,0.0,0.26,0.52,0.13,0.23,0.9099,11.6581,0
1488.0,-10.0,36,20.3,47.4821,7.9,25.0,0.0,0.53,0.83,0.03,0.03,0.9576,15.0969,1
1498.0,10.0,35,69.2,183.409,11.0,89.3,0.0,0.29,0.54,0.09,0.14,0.9426,13.8033,0
1618.0,14.0,33,64.8,171.5807,19.7,84.4,0.0,0.21,0.48,0.03,0.3,0.9249,12.9771,0
1604.0,-14.0,33,12.0,22.6695,6.8,14.0,0.0,0.55,0.79,0.0,0.06,0.966,15.7003,1
1407.0,-130.0,58,71.6,186.6596,46.2,31.7,152.1,0.45,0.71,0.07,0.17,0.8887,11.5782,0
1537.0,130.0,58,21.8,47.7626,32.2,27.0,8.6,0.57,0.83,0.02,0.12,0.9424,13.708,0
1542.0,4.0,32,69.8,178.6311,9.3,97.3,0.0,0.34,0.62,0.06,0.19,0.9592,15.415,0
1538.0,-4.0,31,127.8,270.4427,11.0,175.6,0.0,0.39,0.58,0.13,0.16,0.9616,15.4334,0
1939.0,26.0,66,53.8,140.5618,14.1,43.2,81.2,0.38,0.79,0.03,0.23,0.9499,10.7339,0
1913.0,-26.0,66,176.9,357.4366,12.3,35.7,388.6,0.53,0.82,0.2,0.06,0.9426,13.4285,1
1978.0,30.0,23,100.7,161.5484,8.9,171.2,0.0,0.7,0.83,0.26,0.09,0.7939,10.2028,1
1948.0,-30.0,23,104.0,167.2188,22.1,156.7,0.0,0.39,0.61,0.26,0.09,0.9538,15.2135,0
1700.0,4.0,49,80.7,239.1283,26.0,17.6,351.9,0.45,0.69,0.06,0.14,0.923,13.6474,1
1696.0,-4.0,48,103.4,240.5341,80.3,32.0,364.4,0.29,0.52,0.08,0.23,0.9082,10.1267,0
1695.0,-213.0,41,122.4,265.9844,103.9,132.7,0.0,0.46,0.71,0.12,0.22,0.8931,11.0017,0
1908.0,213.0,41,59.7,164.0574,27.7,73.2,0.0,0.37,0.63,0.05,0.24,0.9691,15.6245,0
1538.0,51.0,24,65.6,202.1011,43.1,81.6,0.0,0.54,0.67,0.04,0.12,0.9108,13.8871,1
1487.0,-51.0,24,28.3,35.5313,29.2,27.7,0.0,0.46,0.79,0.0,0.21,0.9641,14.921,0
1926.0,-12.0,60,53.6,186.5737,13.7,29.9,109.0,0.5,0.73,0.05,0.07,0.9417,14.1535,1
1938.0,12.0,59,52.3,153.6883,10.1,46.4,80.2,0.36,0.71,0.08,0.07,0.8806,10.5835,0
1583.0,-272.0,61,96.6,218.4988,20.1,123.6,94.4,0.44,0.59,0.11,0.2,0.9651,12.4129,0
1855.0,272.0,61,87.0,203.9374,19.2,128.1,58.5,0.43,0.57,0.13,0.1,0.975,14.2199,0
1512.0,-14.0,45,47.0,58.8158,35.3,58.7,0.0,0.38,0.53,0.02,0.29,0.9487,14.8907,1
1526.0,14.0,44,90.8,161.0632,28.7,80.1,266.2,0.2,0.52,0.09,0.36,0.9456,13.564,0
1850.0,-95.0,37,16.4,25.3107,38.6,8.1,0.0,0.59,0.73,0.0,0.11,0.9662,14.6492,1
1945.0,95.0,36,62.6,177.1592,45.7,68.2,0.0,0.31,0.67,0.06,0.14,0.9594,13.9239,0
1818.0,-333.0,45,70.1,156.0942,30.1,58.0,222.4,0.33,0.62,0.04,0.29,0.9277,11.1591,0
2151.0,333.0,45,16.1,27.0506,33.4,14.1,0.0,0.58,0.87,0.0,0.13,0.9559,14.1282,1
1973.0,10.0,58,45.2,137.3103,84.1,20.8,64.3,0.59,0.76,0.05,0.14,0.9474,13.8925,1
1963.0,-10.0,57,52.5,154.919,27.1,49.5,70.2,0.42,0.81,0.04,0.16,0.8958,11.6433,0
1584.0,-3.0,73,39.4,118.7631,25.7,29.1,52.9,0.49,0.77,0.01,0.12,0.9087,10.2936,1
1587.0,3.0,73,13.1,22.624,20.0,10.6,13.5,0.56,0.74,0.0,0.07,0.9583,13.8815,1
1745.0,54.0,36,88.4,181.4247,106.5,81.4,0.0,0.39,0.61,0.08,0.28,0.8654,12.8977,0
1691.0,-54.0,36,30.3,116.3969,98.0,7.8,0.0,0.75,0.86,0.03,0.06,0.9584,13.5439,1
1919.0,195.0,68,19.7,33.6849,15.4,25.4,15.1,0.44,0.65,0.0,0.15,0.9624,13.9989,1
1724.0,-195.0,67,46.2,125.2433,20.2,33.4,68.3,0.42,0.66,0.01,0.21,0.9093,11.2426,0
1759.0,-127.0,39,65.4,165.622,24.3,79.5,0.0,0.36,0.69,0.05,0.26,0.9638,14.2486,0
1886.0,127.0,39,14.7,22.5971,23.1,12.2,0.0,0.51,0.87,0.0,0.08,0.9552,13.9017,1
1477.0,21.0,56,43.5,69.9836,44.3,50.8,29.2,0.41,0.57,0.04,0.25,0.9164,13.1449,1
1456.0,-21.0,55,57.4,76.7996,44.2,77.3,27.5,0.36,0.75,0.04,0.35,0.8906,11.1312,0
1852.0,-32.0,50,79.8,238.991,12.0,87.5,124.3,0.6,0.8,0.08,0.08,0.965,15.8181,1
1884.0,32.0,49,116.9,275.3854,7.1,113.1,227.1,0.49,0.73,0.12,0.16,0.9101,10.765,1
2009.0,34.0,21,27.4,64.743,52.3,4.8,0.0,0.48,0.81,0.05,0.1,0.9564,15.459,1
1975.0,-34.0,20,105.8,255.5776,52.1,149.6,0.0,0.55,0.75,0.1,0.15,0.8476,10.8986,0
1603.0,-46.0,26,157.6,230.6209,40.9,230.5,0.0,0.19,0.35,0.23,0.42,0.9638,14.6775,0
1649.0,46.0,26,87.2,124.435,49.6,107.1,0.0,0.42,0.65,0.15,0.35,0.9556,15.0761,0
1486.0,-357.0,36,47.2,171.0892,40.8,49.6,0.0,0.64,0.86,0.06,0.03,0.9395,15.5316,1
1843.0,357.0,35,43.7,119.6496,26.6,49.7,0.0,0.4,0.83,0.03,0.14,0.936,13.8964,0
1652.0,48.0,54,31.9,49.3508,15.9,34.5,37.7,0.3,0.5,0.02,0.2,0.9669,14.193,0
1604.0,-48.0,53,33.5,72.1261,10.2,31.5,52.7,0.4,0.66,0.08,0.08,0.9571,13.8547,1
1254.0,30.0,56,34.5,52.043,77.5,33.7,8.9,0.57,0.73,0.02,0.23,0.9501,12.7118,0
1224.0,-30.0,55,65.1,146.8816,40.7,40.0,125.8,0.36,0.71,0.07,0.25,0.9513,12.2644,1
1872.0,-59.0,37,66.5,168.7506,40.6,76.1,0.0,0.35,0.65,0.05,0.19,0.8796,9.7867,0
1931.0,59.0,37,17.8,45.1067,18.9,17.4,0.0,0.7,0.86,0.03,0.08,0.9557,14.6689,1
2004.0,30.0,52,51.4,143.993,5.1,37.5,124.8,0.44,0.77,0.02,0.17,0.9189,11.8895,0
1974.0,-30.0,52,55.6,195.9058,10.3,12.0,187.5,0.65,0.92,0.06,0.1,0.9613,14.5876,1
2026.0,67.0,58,81.5,187.5754,13.8,119.3,56.1,0.34,0.71,0.09,0.24,0.9272,11.4749,0
1959.0,-67.0,58,68.3,195.7625,7.1,113.7,25.6,0.55,0.78,0.09,0.12,0.9581,14.9862,0
1906.0,-9.0,42,58.9,175.5744,16.4,43.6,500.0,0.5,0.69,0.05,0.14,0.9593,13.8242,0
1915.0,9.0,42,16.8,32.4688,6.4,21.4,1.7,0.55,0.71,0.0,0.07,0.959,14.2445,0
1538.0,-12.0,24,20.9,27.8442,29.3,14.9,0.0,0.5,0.71,0.0,0.17,0.9646,16.0736,1
1550.0,12.0,23,82.5,203.9362,18.3,123.7,0.0,0.35,0.52,0.04,0.35,0.9147,14.322,0
1499.0,116.0,40,53.4,88.8031,109.5,34.7,0.0,0.35,0.6,0.03,0.35,0.8987,11.7055,0
1383.0,-116.0,40,33.6,83.7115,46.2,31.0,0.0,0.57,0.75,0.03,0.15,0.9524,14.679,1
1950.0,-144.0,29,86.8,186.2496,48.4,106.9,0.0,0.38,0.52,0.07,0.31,0.8309,13.2292,0
2094.0,144.0,29,17.6,29.454,31.7,11.2,0.0,0.48,0.79,0.0,0.1,0.9623,15.2997,1
1448.0,91.0,55,40.7,49.4613,29.1,46.7,36.2,0.27,0.67,0.02,0.22,0.9311,11.3521,0
1357.0,-91.0,55,33.4,135.2491,46.6,10.2,69.4,0.55,0.78,0.02,0.09,0.9601,14.2268,1
1462.0,5.0,23,128.3,247.1908,137.9,120.9,0.0,0.26,0.57,0.13,0.39,0.8696,12.8893,0
1457.0,-5.0,23,37.7,66.46,73.1,15.0,0.0,0.61,0.78,0.09,0.22,0.9644,15.2879,0
2001.0,277.0,55,94.0,229.5723,45.8,104.4,105.5,0.38,0.73,0.11,0.22,0.9102,13.1312,1
1724.0,-277.0,55,95.5,240.5762,32.2,122.7,80.2,0.44,0.78,0.09,0.24,0.9334,12.1704,0
1959.0,1.0,39,75.7,166.9064,26.5,92.7,0.0,0.33,0.62,0.05,0.28,0.9414,12.8805,0
1958.0,-1.0,39,20.8,22.9308,28.2,18.6,0.0,0.49,0.82,0.0,0.1,0.963,15.7011,1
1404.0,12.0,46,78.4,246.7656,14.0,15.6,500.0,0.54,0.72,0.07,0.07,0.961,14.3663,1
1392.0,-12.0,45,69.6,207.0274,19.2,31.9,333.5,0.42,0.71,0.04,0.11,0.8747,10.3984,0
1966.0,-33.0,47,72.1,163.9475,31.8,102.3,0.7,0.23,0.57,0.04,0.32,0.9425,14.5889,0
1999.0,33.0,46,85.5,150.1855,120.2,94.8,0.9,0.26,0.63,0.11,0.3,0.9305,9.8787,1
1798.0,19.0,49,72.4,132.5533,44.2,27.1,254.7,0.41,0.63,0.1,0.16,0.9682,15.3313,0
1779.0,-19.0,48,77.2,129.663,53.1,42.5,216.8,0.44,0.71,0.1,0.25,0.9707,13.2301,1
1536.0,10.0,49,126.4,271.4099,44.2,151.3,134.8,0.37,0.69,0.12,0.24,0.969,11.8276,1
1526.0,-10.0,49,122.5,303.0745,36.1,155.6,100.8,0.51,0.76,0.14,0.08,0.9683,14.634,0
1625.0,-21.0,36,58.2,81.4381,21.4,72.3,0.0,0.31,0.5,0.08,0.33,0.9244,13.6496,1
1646.0,21.0,36,54.2,167.4225,16.9,66.7,0.0,0.5,0.78,0.03,0.19,0.9577,14.8904,1
1662.0,-220.0,44,33.6,52.8514,65.0,27.6,0.0,0.41,0.59,0.02,0.16,0.9655,15.3753,1
1882.0,220.0,43,59.9,131.3064,151.9,40.2,0.5,0.28,0.67,0.07,0.19,0.9321,12.8345,0
1770.0,4.0,52,59.3,152.4904,101.3,32.6,91.2,0.37,0.79,0.04,0.21,0.8913,10.4813,0
1766.0,-4.0,52,19.8,63.4234,75.1,10.3,3.4,0.6,0.81,0.02,0.06,0.9451,14.6029,1
1241.0,-63.0,44,54.2,158.1759,28.8,36.5,250.0,0.5,0.73,0.05,0.16,0.9604,15.0031,1
1304.0,63.0,43,76.9,168.1024,48.3,62.3,250.0,0.35,0.56,0.09,0.21,0.9466,12.716,0
1420.0,-109.0,28,116.2,222.4914,73.7,139.9,0.0,0.39,0.75,0.11,0.36,0.959,15.0328,0
1529.0,109.0,28,62.1,119.3443,93.9,47.1,0.0,0.43,0.61,0.07,0.25,0.9552,14.5166,1
1868.0,-118.0,43,28.2,83.4099,49.2,23.5,5.0,0.47,0.67,0.02,0.12,0.9651,14.5383,0
1986.0,118.0,43,27.1,65.313,35.8,28.0,0.2,0.35,0.7,0.02,0.09,0.9702,14.3092,0
1609.0,-38.0,64,122.4,202.103,44.4,52.7,242.0,0.52,0.75,0.17,0.22,0.9632,11.5833,0
1647.0,38.0,63,112.0,200.9493,45.4,33.7,234.9,0.4,0.57,0.16,0.17,0.9632,13.8963,1
1580.0,25.0,47,42.3,92.4458,76.8,39.8,4.0,0.38,0.64,0.06,0.11,0.9645,14.9322,1
1555.0,-25.0,46,59.5,127.0349,52.4,67.7,33.0,0.3,0.65,0.11,0.13,0.9316,11.7207,0
